Entry ID;Experimental Method;Number of Water Molecules per Deposited Model;Resolution (Å);
3Q0B;X-RAY DIFFRACTION;63;2,2;
3Q0C;X-RAY DIFFRACTION;36;2,6567;
3Q0D;X-RAY DIFFRACTION;51;2,3704;
3Q0F;X-RAY DIFFRACTION;18;2,75;
3Q1M;X-RAY DIFFRACTION;3;3,2;
3Q22;X-RAY DIFFRACTION;1420;2,11;
3Q23;X-RAY DIFFRACTION;2626;1,8;
3Q24;X-RAY DIFFRACTION;2399;1,81;
3Q2Y;X-RAY DIFFRACTION;15;2,95;
3Q3D;X-RAY DIFFRACTION;28;2,79;
3Q5F;X-RAY DIFFRACTION;;2,96;
3Q5P;X-RAY DIFFRACTION;15;2,942;
3Q5R;X-RAY DIFFRACTION;;3,05;
3Q5S;X-RAY DIFFRACTION;9;3,1;
3Q8K;X-RAY DIFFRACTION;568;2,2001;
3Q8L;X-RAY DIFFRACTION;402;2,319;
3Q8M;X-RAY DIFFRACTION;110;2,6;
3Q8P;X-RAY DIFFRACTION;398;1,95;
3Q8Q;X-RAY DIFFRACTION;297;2,031;
3Q8R;X-RAY DIFFRACTION;151;2,45;
3Q8S;X-RAY DIFFRACTION;256;2,09;
3QE9;X-RAY DIFFRACTION;312;2,51;
3QEA;X-RAY DIFFRACTION;6;3,1;
3QEB;X-RAY DIFFRACTION;16;3;
3QEI;X-RAY DIFFRACTION;500;2,178;
3QEP;X-RAY DIFFRACTION;1239;1,8;
3QER;X-RAY DIFFRACTION;927;1,96;
3QES;X-RAY DIFFRACTION;821;1,98;
3QET;X-RAY DIFFRACTION;456;2,08;
3QEV;X-RAY DIFFRACTION;913;1,77;
3QEW;X-RAY DIFFRACTION;927;1,84;
3QEX;X-RAY DIFFRACTION;980;1,73;
3QFQ;X-RAY DIFFRACTION;14;2,9001;
3QI5;X-RAY DIFFRACTION;232;2,2;
3QLP;X-RAY DIFFRACTION;252;2,14;
3QMB;X-RAY DIFFRACTION;18;2,06;
3QMC;X-RAY DIFFRACTION;22;2,1;
3QMD;X-RAY DIFFRACTION;26;1,9;
3QMG;X-RAY DIFFRACTION;10;2,3;
3QMH;X-RAY DIFFRACTION;7;2,5;
3QMI;X-RAY DIFFRACTION;33;2,1;
3QNN;X-RAY DIFFRACTION;795;1,92;
3QNO;X-RAY DIFFRACTION;1014;1,88;
3QOQ;X-RAY DIFFRACTION;7;3,1;
3QQY;X-RAY DIFFRACTION;73;2,401;
3QRF;X-RAY DIFFRACTION;7;2,8;
3QSV;X-RAY DIFFRACTION;9;2,708;
3QX3;X-RAY DIFFRACTION;1047;2,162;
3QYM;X-RAY DIFFRACTION;;3,2;
3QYN;X-RAY DIFFRACTION;467;2,5;
3QYX;X-RAY DIFFRACTION;;3,75;
3QZ7;X-RAY DIFFRACTION;70;1,998;
3QZ8;X-RAY DIFFRACTION;167;1,999;
3R7P;X-RAY DIFFRACTION;43;2,704;
3R8F;X-RAY DIFFRACTION;22;3,366;
3RA0;X-RAY DIFFRACTION;30;2,451;
3RA4;X-RAY DIFFRACTION;76;2,7;
3RA9;X-RAY DIFFRACTION;54;2,7;
3RAD;X-RAY DIFFRACTION;34;3,35;
3RAE;X-RAY DIFFRACTION;54;2,9;
3RAF;X-RAY DIFFRACTION;40;3,24;
3RAQ;X-RAY DIFFRACTION;298;2,25;
3RAX;X-RAY DIFFRACTION;518;1,891;
3RB0;X-RAY DIFFRACTION;31;3,225;
3RB3;X-RAY DIFFRACTION;35;2,8;
3RB4;X-RAY DIFFRACTION;67;2,805;
3RB6;X-RAY DIFFRACTION;58;2,7;
3RBD;X-RAY DIFFRACTION;120;2,502;
3RBE;X-RAY DIFFRACTION;37;2,8;
3REH;X-RAY DIFFRACTION;147;2,5;
3REI;X-RAY DIFFRACTION;;2,65;
3REJ;X-RAY DIFFRACTION;390;2,55;
3REK;X-RAY DIFFRACTION;;2,6;
3REL;X-RAY DIFFRACTION;;2,7;
3RH4;X-RAY DIFFRACTION;450;1,918;
3RH5;X-RAY DIFFRACTION;286;2,096;
3RH6;X-RAY DIFFRACTION;323;2,048;
3RI4;X-RAY DIFFRACTION;33;3;
3RJE;X-RAY DIFFRACTION;487;2,1;
3RJF;X-RAY DIFFRACTION;295;2,3;
3RJG;X-RAY DIFFRACTION;506;2;
3RJH;X-RAY DIFFRACTION;302;2,2;
3RJI;X-RAY DIFFRACTION;342;2,3;
3RJJ;X-RAY DIFFRACTION;576;2;
3RJK;X-RAY DIFFRACTION;422;2,1;
3RKQ;X-RAY DIFFRACTION;170;1,7;
3RMA;X-RAY DIFFRACTION;324;2,84;
3RMB;X-RAY DIFFRACTION;500;2,65;
3RMC;X-RAY DIFFRACTION;121;3;
3RMD;X-RAY DIFFRACTION;188;2,98;
3RMP;X-RAY DIFFRACTION;45;2,21;
3RN2;X-RAY DIFFRACTION;45;2,55;
3RN5;X-RAY DIFFRACTION;163;2,5;
3RNU;X-RAY DIFFRACTION;105;2,502;
3RR7;X-RAY DIFFRACTION;350;1,95;
3RR8;X-RAY DIFFRACTION;101;2,4;
3RRG;X-RAY DIFFRACTION;140;2,3;
3RRH;X-RAY DIFFRACTION;362;1,8;
3RTV;X-RAY DIFFRACTION;331;1,9;
3RWU;X-RAY DIFFRACTION;158;2,33;
3RZD;X-RAY DIFFRACTION;;3,3;
3RZG;X-RAY DIFFRACTION;307;1,62;
3RZH;X-RAY DIFFRACTION;71;2,25;
3RZJ;X-RAY DIFFRACTION;44;2,5;
3RZK;X-RAY DIFFRACTION;12;2,78;
3RZL;X-RAY DIFFRACTION;18;2,6;
3RZM;X-RAY DIFFRACTION;;3,06;
3RZO;X-RAY DIFFRACTION;;3;
3S14;X-RAY DIFFRACTION;;2,85;
3S15;X-RAY DIFFRACTION;;3,3;
3S16;X-RAY DIFFRACTION;;3,241;
3S17;X-RAY DIFFRACTION;;3,2;
3S1M;X-RAY DIFFRACTION;;3,13;
3S1N;X-RAY DIFFRACTION;;3,1;
3S1Q;X-RAY DIFFRACTION;;3,3;
3S1R;X-RAY DIFFRACTION;;3,2;
3S2D;X-RAY DIFFRACTION;;3,2;
3S2H;X-RAY DIFFRACTION;;3,3;
3S3M;X-RAY DIFFRACTION;235;2,49;
3S3N;X-RAY DIFFRACTION;210;2,49;
3S3O;X-RAY DIFFRACTION;199;2,55;
3S57;X-RAY DIFFRACTION;338;1,6;
3S5A;X-RAY DIFFRACTION;338;1,7;
3S6I;X-RAY DIFFRACTION;112;2,28;
3S8Q;X-RAY DIFFRACTION;296;2,1;
3S9H;X-RAY DIFFRACTION;1155;1,95;
3SAR;X-RAY DIFFRACTION;201;1,95;
3SAS;X-RAY DIFFRACTION;166;2,05;
3SAT;X-RAY DIFFRACTION;155;2,15;
3SAU;X-RAY DIFFRACTION;257;1,65;
3SAV;X-RAY DIFFRACTION;148;2,125;
3SAW;X-RAY DIFFRACTION;98;2,35;
3SBJ;X-RAY DIFFRACTION;153;2,1;
3SCX;X-RAY DIFFRACTION;345;2,35;
3SI6;X-RAY DIFFRACTION;1114;1,85;
3SI8;X-RAY DIFFRACTION;126;2,15;
3SJJ;X-RAY DIFFRACTION;138;2,38;
3SJM;X-RAY DIFFRACTION;298;1,35;
3SLP;X-RAY DIFFRACTION;491;2,3;
3SM4;X-RAY DIFFRACTION;584;1,88;
3SNN;X-RAY DIFFRACTION;585;2;
3SPD;X-RAY DIFFRACTION;1105;1,912;
3SPL;X-RAY DIFFRACTION;842;2,101;
3SPY;X-RAY DIFFRACTION;496;2,14;
3SPZ;X-RAY DIFFRACTION;229;2,43;
3SQ0;X-RAY DIFFRACTION;304;2;
3SQ1;X-RAY DIFFRACTION;869;1,82;
3SQ2;X-RAY DIFFRACTION;350;2,1;
3SQ4;X-RAY DIFFRACTION;287;2,23;
3SQI;X-RAY DIFFRACTION;;2,8245;
3SSC;X-RAY DIFFRACTION;251;2,1;
3SSD;X-RAY DIFFRACTION;136;2,2;
3SSE;X-RAY DIFFRACTION;34;2,7;
3SUN;X-RAY DIFFRACTION;166;2,42;
3SUO;X-RAY DIFFRACTION;255;2,23;
3SUP;X-RAY DIFFRACTION;265;2,32;
3SUQ;X-RAY DIFFRACTION;;3,15;
3SV3;X-RAY DIFFRACTION;241;2,1;
3SV4;X-RAY DIFFRACTION;320;1,99;
3SWM;X-RAY DIFFRACTION;;4,25;
3SWP;X-RAY DIFFRACTION;;4,113;
3SYZ;X-RAY DIFFRACTION;324;1,952;
3SZ2;X-RAY DIFFRACTION;295;2,15;
3SZ5;X-RAY DIFFRACTION;;2,8;
3SZQ;X-RAY DIFFRACTION;211;2,353;
3T3F;X-RAY DIFFRACTION;318;1,9;
3T5H;X-RAY DIFFRACTION;181;2,35;
3T5J;X-RAY DIFFRACTION;130;2,4;
3T5K;X-RAY DIFFRACTION;81;2,9;
3T5L;X-RAY DIFFRACTION;110;2,9;
3T72;X-RAY DIFFRACTION;;4,33;
3T79;X-RAY DIFFRACTION;;3,6113;
3TAB;X-RAY DIFFRACTION;163;2,8;
3TAE;X-RAY DIFFRACTION;240;2,71;
3TAF;X-RAY DIFFRACTION;120;3;
3TAG;X-RAY DIFFRACTION;63;2,95;
3TAN;X-RAY DIFFRACTION;873;1,53;
3TAP;X-RAY DIFFRACTION;697;1,655;
3TAQ;X-RAY DIFFRACTION;775;1,65;
3TAR;X-RAY DIFFRACTION;670;1,6;
3TED;X-RAY DIFFRACTION;169;2;
3TFR;X-RAY DIFFRACTION;474;2;
3TFS;X-RAY DIFFRACTION;356;2;
3THV;X-RAY DIFFRACTION;1696;1,611;
3THW;X-RAY DIFFRACTION;4;3,09;
3THX;X-RAY DIFFRACTION;27;2,7;
3THY;X-RAY DIFFRACTION;15;2,894;
3THZ;X-RAY DIFFRACTION;;4,3;
3TI0;X-RAY DIFFRACTION;1687;1,62;
3TMM;X-RAY DIFFRACTION;80;2,5001;
3TQ1;X-RAY DIFFRACTION;76;2,556;
3TQ6;X-RAY DIFFRACTION;186;2,45;
3TS8;X-RAY DIFFRACTION;105;2,8;
3TU4;X-RAY DIFFRACTION;;3;
3TWH;X-RAY DIFFRACTION;136;1,79;
3TWM;X-RAY DIFFRACTION;143;2,8;
3U2B;X-RAY DIFFRACTION;8;2,402;
3U3W;X-RAY DIFFRACTION;255;2,4;
3U3Y;X-RAY DIFFRACTION;183;2,28;
3U44;X-RAY DIFFRACTION;40;3,201;
3U4Q;X-RAY DIFFRACTION;189;2,8;
3U58;X-RAY DIFFRACTION;66;2,613;
3U5Z;X-RAY DIFFRACTION;;3,5;
3U60;X-RAY DIFFRACTION;;3,34;
3U61;X-RAY DIFFRACTION;;3,2;
3U6C;X-RAY DIFFRACTION;252;1,8;
3U6D;X-RAY DIFFRACTION;260;1,87;
3U6E;X-RAY DIFFRACTION;262;1,7;
3U6F;X-RAY DIFFRACTION;176;2,3;
3U6L;X-RAY DIFFRACTION;262;1,97;
3U6M;X-RAY DIFFRACTION;144;2,1;
3U6O;X-RAY DIFFRACTION;247;1,9;
3U6P;X-RAY DIFFRACTION;331;1,6;
3U6Q;X-RAY DIFFRACTION;150;1,981;
3U6S;X-RAY DIFFRACTION;334;1,77;
3U6Y;X-RAY DIFFRACTION;183;2;
3U7F;X-RAY DIFFRACTION;409;1,8;
3U7G;X-RAY DIFFRACTION;201;2,1;
3U7H;X-RAY DIFFRACTION;234;2;
3UBT;X-RAY DIFFRACTION;580;2,502;
3UBY;X-RAY DIFFRACTION;250;2;
3UDG;X-RAY DIFFRACTION;106;2,4;
3UFD;X-RAY DIFFRACTION;13;2,8;
3UFJ;X-RAY DIFFRACTION;1;2,967;
3UGM;X-RAY DIFFRACTION;216;3;
3UGO;X-RAY DIFFRACTION;131;2,096;
3UGP;X-RAY DIFFRACTION;39;2,697;
3UIQ;X-RAY DIFFRACTION;555;1,879;
3UK3;X-RAY DIFFRACTION;57;2,1;
3UKG;X-RAY DIFFRACTION;12;2,95;
3ULD;X-RAY DIFFRACTION;124;1,6;
3ULP;X-RAY DIFFRACTION;228;2,1;
3UO7;X-RAY DIFFRACTION;;3,002;
3UOB;X-RAY DIFFRACTION;;3,011;
3UPQ;X-RAY DIFFRACTION;255;1,95;
3UPU;X-RAY DIFFRACTION;10;3,299;
3UQ0;X-RAY DIFFRACTION;289;2,14;
3UQ2;X-RAY DIFFRACTION;113;2,25;
3US0;X-RAY DIFFRACTION;394;2,5;
3US1;X-RAY DIFFRACTION;174;2,8;
3US2;X-RAY DIFFRACTION;;4,2;
3UT9;X-RAY DIFFRACTION;140;2,2;
3UTA;X-RAY DIFFRACTION;109;2,07;
3UTB;X-RAY DIFFRACTION;399;2,2;
3UVF;X-RAY DIFFRACTION;174;3;
3UXP;X-RAY DIFFRACTION;41;2,723;
3UXW;X-RAY DIFFRACTION;59;2,27;
3V1Z;X-RAY DIFFRACTION;218;2,2;
3V20;X-RAY DIFFRACTION;106;2,35;
3V21;X-RAY DIFFRACTION;359;2,7;
3V4I;X-RAY DIFFRACTION;;2,7983;
3V4R;X-RAY DIFFRACTION;;3,25;
3V6D;X-RAY DIFFRACTION;;2,7048;
3V6H;X-RAY DIFFRACTION;210;2,3;
3V6J;X-RAY DIFFRACTION;162;2,3;
3V6K;X-RAY DIFFRACTION;30;3,6;
3V6T;X-RAY DIFFRACTION;1046;1,85;
3V72;X-RAY DIFFRACTION;83;2,49;
3V79;X-RAY DIFFRACTION;;3,85;
3V7J;X-RAY DIFFRACTION;356;2,25;
3V7K;X-RAY DIFFRACTION;127;2,271;
3V81;X-RAY DIFFRACTION;;2,8503;
3V9S;X-RAY DIFFRACTION;458;2,1;
3V9U;X-RAY DIFFRACTION;205;2,298;
3V9W;X-RAY DIFFRACTION;804;1,702;
3V9X;X-RAY DIFFRACTION;524;1,9;
3V9Z;X-RAY DIFFRACTION;632;1,8;
3VA0;X-RAY DIFFRACTION;444;2,201;
3VA3;X-RAY DIFFRACTION;37;2,714;
3VAF;X-RAY DIFFRACTION;119;2,49;
3VAG;X-RAY DIFFRACTION;156;2,19;
3VAH;X-RAY DIFFRACTION;95;2,5;
3VAI;X-RAY DIFFRACTION;167;2,2;
3VAJ;X-RAY DIFFRACTION;227;1,9;
3VAK;X-RAY DIFFRACTION;272;2,17;
3VAL;X-RAY DIFFRACTION;225;2,5;
3VAM;X-RAY DIFFRACTION;127;2,4;
3VD0;X-RAY DIFFRACTION;169;2,95;
3VD1;X-RAY DIFFRACTION;188;2,95;
3VD2;X-RAY DIFFRACTION;;4;
3VD6;X-RAY DIFFRACTION;93;1,98;
3VDY;X-RAY DIFFRACTION;;2,8;
3VEA;X-RAY DIFFRACTION;62;2,55;
3VEB;X-RAY DIFFRACTION;7;2,8;
3VEK;X-RAY DIFFRACTION;;2,63;
3VH0;X-RAY DIFFRACTION;30;2,9;
3VK7;X-RAY DIFFRACTION;456;2,1;
3VK8;X-RAY DIFFRACTION;444;2;
3VKE;X-RAY DIFFRACTION;71;1,77;
3VOK;X-RAY DIFFRACTION;81;2;
3VW3;X-RAY DIFFRACTION;144;2,5;
3VW4;X-RAY DIFFRACTION;27;2,7;
3VWB;X-RAY DIFFRACTION;62;2,416;
3VXV;X-RAY DIFFRACTION;154;2;
3VXX;X-RAY DIFFRACTION;123;2,204;
3VYB;X-RAY DIFFRACTION;71;2,4;
3VYQ;X-RAY DIFFRACTION;55;2,525;
3W2A;X-RAY DIFFRACTION;41;2,775;
3W3C;X-RAY DIFFRACTION;70;2,431;
3W6V;X-RAY DIFFRACTION;9;2,95;
3W96;X-RAY DIFFRACTION;;3;
3W97;X-RAY DIFFRACTION;;3,2;
3W98;X-RAY DIFFRACTION;;3,42;
3W99;X-RAY DIFFRACTION;;3;
3WA9;X-RAY DIFFRACTION;;3,07;
3WAA;X-RAY DIFFRACTION;;3,2;
3WAZ;X-RAY DIFFRACTION;;3;
3WGI;X-RAY DIFFRACTION;;3,25;
3WKJ;X-RAY DIFFRACTION;101;2,8;
3WPC;X-RAY DIFFRACTION;1595;1,6;
3WPD;X-RAY DIFFRACTION;10;2,75;
3WPE;X-RAY DIFFRACTION;31;2,38;
3WPG;X-RAY DIFFRACTION;77;2,246;
3WPH;X-RAY DIFFRACTION;150;2,327;
3WPI;X-RAY DIFFRACTION;102;2,246;
3WTP;X-RAY DIFFRACTION;;2,67;
3WTS;X-RAY DIFFRACTION;87;2,35;
3WTT;X-RAY DIFFRACTION;127;2,35;
3WTU;X-RAY DIFFRACTION;35;2,7;
3WTV;X-RAY DIFFRACTION;9;2,7;
3WTW;X-RAY DIFFRACTION;12;2,9;
3WTX;X-RAY DIFFRACTION;21;2,8;
3WTY;X-RAY DIFFRACTION;34;2,7;
3WU1;X-RAY DIFFRACTION;138;2,4;
3WVG;X-RAY DIFFRACTION;429;2,25;
3WVH;X-RAY DIFFRACTION;343;2,54;
3WVI;X-RAY DIFFRACTION;378;2,55;
3WVK;X-RAY DIFFRACTION;451;2;
3WVP;X-RAY DIFFRACTION;338;2,3;
3X1L;X-RAY DIFFRACTION;130;2,096;
3X1S;X-RAY DIFFRACTION;11;2,805;
3X1T;X-RAY DIFFRACTION;113;2,808;
3X1U;X-RAY DIFFRACTION;20;3,25;
3X1V;X-RAY DIFFRACTION;33;2,921;
3ZDA;X-RAY DIFFRACTION;243;1,5;
3ZDB;X-RAY DIFFRACTION;203;1,47;
3ZDC;X-RAY DIFFRACTION;159;1,53;
3ZDD;X-RAY DIFFRACTION;220;1,5;
3ZH2;X-RAY DIFFRACTION;644;2,1;
3ZHM;X-RAY DIFFRACTION;56;2,6;
3ZI5;X-RAY DIFFRACTION;28;3,2;
3ZKC;X-RAY DIFFRACTION;;3;
3ZLJ;X-RAY DIFFRACTION;;3,1;
3ZP5;X-RAY DIFFRACTION;36;2;
3ZPL;X-RAY DIFFRACTION;14;2,8;
3ZQC;X-RAY DIFFRACTION;98;2,9;
3ZQL;X-RAY DIFFRACTION;;2,99;
3ZVK;X-RAY DIFFRACTION;356;2,5;
3ZVM;X-RAY DIFFRACTION;1196;1,997;
3ZVN;X-RAY DIFFRACTION;253;2,15;
4A04;X-RAY DIFFRACTION;66;2,58;
4A08;X-RAY DIFFRACTION;16;3;
4A09;X-RAY DIFFRACTION;22;3,1;
4A0A;X-RAY DIFFRACTION;;3,6;
4A0B;X-RAY DIFFRACTION;;3,8;
4A0K;X-RAY DIFFRACTION;;5,93;
4A0L;X-RAY DIFFRACTION;;7,4;
4A12;X-RAY DIFFRACTION;;3,15;
4A15;X-RAY DIFFRACTION;134;2,2;
4A3B;X-RAY DIFFRACTION;;3,5;
4A3C;X-RAY DIFFRACTION;;3,5;
4A3D;X-RAY DIFFRACTION;;3,4;
4A3E;X-RAY DIFFRACTION;;3,4;
4A3F;X-RAY DIFFRACTION;;3,5;
4A3G;X-RAY DIFFRACTION;;3,5;
4A3I;X-RAY DIFFRACTION;;3,8;
4A3J;X-RAY DIFFRACTION;;3,7;
4A3K;X-RAY DIFFRACTION;;3,5;
4A3L;X-RAY DIFFRACTION;;3,5;
4A3M;X-RAY DIFFRACTION;;3,9;
4A75;X-RAY DIFFRACTION;506;1,75;
4A76;X-RAY DIFFRACTION;345;1,92;
4A8F;X-RAY DIFFRACTION;;3,3;
4A8K;X-RAY DIFFRACTION;;3,5;
4A8M;X-RAY DIFFRACTION;;2,92;
4A8Q;X-RAY DIFFRACTION;1;3,06;
4A8S;X-RAY DIFFRACTION;1;2,9;
4A8W;X-RAY DIFFRACTION;;3,04;
4A8Y;X-RAY DIFFRACTION;;3,41;
4A93;X-RAY DIFFRACTION;;3,4;
4AA6;X-RAY DIFFRACTION;134;2,6;
4AAB;X-RAY DIFFRACTION;122;2,5;
4AAD;X-RAY DIFFRACTION;26;3,1;
4AAE;X-RAY DIFFRACTION;150;2,6;
4AAF;X-RAY DIFFRACTION;107;2,5;
4AAG;X-RAY DIFFRACTION;40;2,8;
4ABT;X-RAY DIFFRACTION;246;2,22;
4AIJ;X-RAY DIFFRACTION;76;2,05;
4AIK;X-RAY DIFFRACTION;184;1,85;
4AIL;X-RAY DIFFRACTION;79;2,9;
4AQU;X-RAY DIFFRACTION;102;2,3;
4AQX;X-RAY DIFFRACTION;133;2,2;
4ASO;X-RAY DIFFRACTION;;7;
4ASS;X-RAY DIFFRACTION;;7;
4ATI;X-RAY DIFFRACTION;14;2,6;
4ATK;X-RAY DIFFRACTION;;2,95;
4AUW;X-RAY DIFFRACTION;;2,9;
4AV1;X-RAY DIFFRACTION;44;3,1;
4AWL;X-RAY DIFFRACTION;2;3,08;
4B20;X-RAY DIFFRACTION;79;2,75;
4B21;X-RAY DIFFRACTION;255;1,45;
4B22;X-RAY DIFFRACTION;245;1,9;
4B23;X-RAY DIFFRACTION;208;2;
4B24;X-RAY DIFFRACTION;146;2,3;
4B3O;X-RAY DIFFRACTION;;3,3;
4B3P;X-RAY DIFFRACTION;;4,839;
4B3Q;X-RAY DIFFRACTION;;5;
4B5F;X-RAY DIFFRACTION;326;2,005;
4B5G;X-RAY DIFFRACTION;3;2,75;
4B5H;X-RAY DIFFRACTION;;3,05;
4B5I;X-RAY DIFFRACTION;32;2,555;
4B5J;X-RAY DIFFRACTION;78;2,1;
4B5M;X-RAY DIFFRACTION;;2,758;
4B9L;X-RAY DIFFRACTION;227;2,05;
4B9M;X-RAY DIFFRACTION;200;2,05;
4B9N;X-RAY DIFFRACTION;241;2,2;
4B9S;X-RAY DIFFRACTION;309;1,73;
4B9T;X-RAY DIFFRACTION;59;2,65;
4B9U;X-RAY DIFFRACTION;191;2,1;
4B9V;X-RAY DIFFRACTION;175;2;
4BAC;X-RAY DIFFRACTION;3;3,263;
4BBS;X-RAY DIFFRACTION;;3,6;
4BDP;X-RAY DIFFRACTION;554;1,8;
4BDY;X-RAY DIFFRACTION;289;2,52;
4BDZ;X-RAY DIFFRACTION;228;2,85;
4BE0;X-RAY DIFFRACTION;227;2,68;
4BE1;X-RAY DIFFRACTION;235;2,71;
4BE2;X-RAY DIFFRACTION;320;2,38;
4BHK;X-RAY DIFFRACTION;108;2,32;
4BHM;X-RAY DIFFRACTION;125;2,7;
4BNC;X-RAY DIFFRACTION;;2,9;
4BOC;X-RAY DIFFRACTION;244;2,65;
4BQA;X-RAY DIFFRACTION;33;2,5;
4BUL;X-RAY DIFFRACTION;448;2,6;
4BWJ;X-RAY DIFFRACTION;481;1,55;
4BWM;X-RAY DIFFRACTION;631;1,749;
4BXO;X-RAY DIFFRACTION;100;2,15;
4BXX;X-RAY DIFFRACTION;;3,28;
4BY1;X-RAY DIFFRACTION;;3,6;
4BY7;X-RAY DIFFRACTION;;3,15;
4C2T;X-RAY DIFFRACTION;;3,997;
4C2U;X-RAY DIFFRACTION;186;2,55;
4C30;X-RAY DIFFRACTION;97;3;
4C3G;ELECTRON MICROSCOPY;;8.6, 8.6;
4C8K;X-RAY DIFFRACTION;144;2,17;
4C8L;X-RAY DIFFRACTION;279;1,7;
4C8M;X-RAY DIFFRACTION;350;1,568;
4C8N;X-RAY DIFFRACTION;203;1,88;
4C8O;X-RAY DIFFRACTION;236;1,75;
4CCH;X-RAY DIFFRACTION;122;2,55;
4CEH;X-RAY DIFFRACTION;;3,24;
4CEI;X-RAY DIFFRACTION;8;2,8;
4CEJ;X-RAY DIFFRACTION;7;3;
4CGZ;X-RAY DIFFRACTION;;3,2;
4CH1;SOLUTION NMR;;;
4CHU;X-RAY DIFFRACTION;15;2,489;
4CIS;X-RAY DIFFRACTION;135;2,05;
4CJA;X-RAY DIFFRACTION;125;2,651;
4CN2;X-RAY DIFFRACTION;156;2,069;
4CN3;X-RAY DIFFRACTION;323;2,35;
4CN5;X-RAY DIFFRACTION;315;2;
4CN7;X-RAY DIFFRACTION;151;2,34;
4CRO;X-RAY DIFFRACTION;;3,9;
4CRX;X-RAY DIFFRACTION;473;2,2;
4CSA;X-RAY DIFFRACTION;202;2,28;
4CYC;X-RAY DIFFRACTION;68;2,36;
4D1Q;X-RAY DIFFRACTION;;3,4;
4D6N;X-RAY DIFFRACTION;167;2,35;
4D6O;X-RAY DIFFRACTION;259;2,2;
4D8J;X-RAY DIFFRACTION;;3,55;
4DA4;X-RAY DIFFRACTION;860;2,6;
4DAV;X-RAY DIFFRACTION;185;2,2;
4DF4;X-RAY DIFFRACTION;356;2,2;
4DF8;X-RAY DIFFRACTION;203;2;
4DFJ;X-RAY DIFFRACTION;238;1,9;
4DFK;X-RAY DIFFRACTION;367;1,647;
4DFM;X-RAY DIFFRACTION;248;1,886;
4DFP;X-RAY DIFFRACTION;278;2;
4DIH;X-RAY DIFFRACTION;217;1,8;
4DII;X-RAY DIFFRACTION;183;2,05;
4DK9;X-RAY DIFFRACTION;1;2,76;
4DKJ;X-RAY DIFFRACTION;267;2,15;
4DL2;X-RAY DIFFRACTION;218;2,15;
4DL3;X-RAY DIFFRACTION;277;2,1;
4DL4;X-RAY DIFFRACTION;209;2;
4DL5;X-RAY DIFFRACTION;;2,92;
4DL6;X-RAY DIFFRACTION;59;2,5;
4DL7;X-RAY DIFFRACTION;327;1,97;
4DLE;X-RAY DIFFRACTION;156;2,44;
4DLG;X-RAY DIFFRACTION;445;1,89;
4DM0;X-RAY DIFFRACTION;362;2,5;
4DO9;X-RAY DIFFRACTION;329;2,05;
4DOA;X-RAY DIFFRACTION;315;2,051;
4DOB;X-RAY DIFFRACTION;268;2,05;
4DOC;X-RAY DIFFRACTION;435;1,949;
4DPV;X-RAY DIFFRACTION;;2,9;
4DQI;X-RAY DIFFRACTION;1636;1,69;
4DQP;X-RAY DIFFRACTION;1302;1,74;
4DQQ;X-RAY DIFFRACTION;1233;1,595;
4DQR;X-RAY DIFFRACTION;821;1,95;
4DQS;X-RAY DIFFRACTION;857;1,66;
4DQY;X-RAY DIFFRACTION;;3,25;
4DS4;X-RAY DIFFRACTION;1082;1,681;
4DS5;X-RAY DIFFRACTION;1118;1,68;
4DSE;X-RAY DIFFRACTION;1266;1,67;
4DSF;X-RAY DIFFRACTION;1168;1,661;
4DSI;X-RAY DIFFRACTION;242;2,05;
4DSJ;X-RAY DIFFRACTION;9;2,86;
4DSK;X-RAY DIFFRACTION;300;2,18;
4DSL;X-RAY DIFFRACTION;65;2,45;
4DTJ;X-RAY DIFFRACTION;918;1,9;
4DTM;X-RAY DIFFRACTION;705;1,95;
4DTN;X-RAY DIFFRACTION;649;1,96;
4DTO;X-RAY DIFFRACTION;570;2,05;
4DTP;X-RAY DIFFRACTION;590;2,05;
4DTR;X-RAY DIFFRACTION;636;2,04;
4DTS;X-RAY DIFFRACTION;898;1,96;
4DTU;X-RAY DIFFRACTION;814;1,86;
4DTX;X-RAY DIFFRACTION;807;1,84;
4DU1;X-RAY DIFFRACTION;357;2,15;
4DU3;X-RAY DIFFRACTION;540;2,02;
4DU4;X-RAY DIFFRACTION;192;2,28;
4DWI;X-RAY DIFFRACTION;209;1,85;
4DWP;X-RAY DIFFRACTION;347;2,35;
4E0D;X-RAY DIFFRACTION;824;1,58;
4E0G;X-RAY DIFFRACTION;405;2,2;
4E0J;X-RAY DIFFRACTION;366;2,3;
4E0P;X-RAY DIFFRACTION;436;2,2;
4E0Y;X-RAY DIFFRACTION;136;2,4;
4E0Z;X-RAY DIFFRACTION;256;2,42;
4,00E+10;X-RAY DIFFRACTION;177;2,506;
4E3S;X-RAY DIFFRACTION;509;2,04;
4,00E+54;X-RAY DIFFRACTION;;2,85;
4E5Z;X-RAY DIFFRACTION;;3,22;
4,00E+68;X-RAY DIFFRACTION;139;2,585;
4E7H;X-RAY DIFFRACTION;232;2,5701;
4E7I;X-RAY DIFFRACTION;267;2,5301;
4E7J;X-RAY DIFFRACTION;;3,1501;
4E7K;X-RAY DIFFRACTION;12;3,02;
4E7L;X-RAY DIFFRACTION;;3,0001;
